"Timestamp","What do you enjoy playing in Generals Zero Hour?","Do you participate in Multiplayer leagues, tournaments or challenges?","What platform(s) do you use when playing Multiplayer?","Do you use any optional tools?","When playing a match in Singleplayer or Multiplayer, do you encounter any gameplay issues that are frustrating?","When playing a match in Multiplayer, do you encounter any faction (army) balancing issues that appear unfair?","All Community Mods aside, how happy are you with the overall state of original Zero Hour 1.04 Version?","If Electronic Arts (EA) was to patch Generals Zero Hour 1.04 today and fix exploits, bugs and improve performance, graphics, sounds and imbalances, how happy would you be about it?","If Community Users were to patch Generals Zero Hour 1.04 today and fix exploits, bugs and improve performance, graphics, sounds and imbalances, how happy would you be about it?","What patch changes would be be acceptable for you beyond fixes and improvements with mainly Multiplayer in mind?","If an original game feature is bugged and its use has been accepted as not cheating/exploiting, would you prefer the bug to be fixed, even if it meant the gameplay changed because of it?","If an original game feature is imbalanced and impossible to fix by just changing build cost and build time, would you prefer the imbalance to be fixed, even if it meant the gameplay changed because of it?","If Community Users would release and distribute a new patch with fixes and improvements, would you be concerned about its adoption success by the general Multiplayer population? (Player base split)","Would a new patch with fixes and improvements be an incentive for you to play more Multiplayer?","Here you can write anything that is on your mind related to this questionnaire. What do you find frustrating? What would you like to see improved?"
"2021/08/29 10:21:48 AM GMT+2","Singleplayer","No","","","Yes, often","","3","3","5","Menu changes;Ingame Interface changes;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes","No","Yes",""
"2021/08/29 10:27:41 AM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Radmin","GenTool (latest);Other","Yes, sometimes","Yes, a few","3","4","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/08/29 10:27:43 AM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","GameRanger;Radmin;CNC Online (Revora)","GenTool (latest);ControlBarPro","Yes, sometimes","Yes, a few","3","5","5","New units, buildings or powers","No","No","Yes, a bit","No, same","I would love to see a new patch and hopefully fix some of the problems "
"2021/08/29 10:30:48 AM GMT+2","Multiplayer","Yes","GameRanger;Radmin;CNC Online (Revora)","GenTool (latest);ControlBarPro;GenPatcher","Yes, often","Yes, a few","2","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes","No","Yes",""
"2021/08/29 10:32:37 AM GMT+2","Multiplayer","Yes","Radmin","GenTool (latest);ControlBarPro","Yes, sometimes","Yes, a few","3","5","4","Ingame Interface changes;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes","Yes",""
"2021/08/29 10:35:39 AM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","","GenTool (latest)","Yes, sometimes","","4","4","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","No","No","Yes, a bit","No, same",""
"2021/08/29 10:37:06 AM GMT+2","Multiplayer","Yes","GameRanger;Radmin;CNC Online (Revora)","GenTool (latest);ControlBarPro;GenPatcher","Yes, often","No","5","3","3","Gameplay or functionality changes for existing units, buildings and powers","Yes","Yes","Yes","No, same","How much do I get paid now to fill this form in!!"
"2021/08/29 10:43:03 AM GMT+2","Multiplayer","No","CNC Online (Revora)","GenTool (latest);ControlBarPro;GenPatcher","Yes, often","Yes, many","3","5","5","Damage, Speed, Health changes for existing units, buildings and powers","Yes","Yes","No","Yes","Fix terrorist freezing bug"
"2021/08/29 10:44:13 AM GMT+2","Singleplayer;Multiplayer","No","GameRanger;CNC Online (Revora)","GenTool (latest)","No","No","5","3","3","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers","Yes, if the impact is small","No","Yes","No, less",""
"2021/08/29 10:46:27 AM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","Yes","GameRanger;Radmin","GenTool (latest);GenTool (old);ControlBarPro","Yes, sometimes","Yes, many","4","4","4","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small","Yes","Yes, a bit","Yes","Combat Chinook, PDL Power on Airforce Units."
"2021/08/29 11:00:35 AM GMT+2","Singleplayer","No","GameRanger;Radmin","GenTool (latest)","Yes, sometimes","Yes, a few","4","4","3","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes","No, same",""
"2021/08/29 11:07:15 AM GMT+2","Multiplayer","No","CNC Online (Revora)","GenTool (old);GenPatcher","Yes, often","Yes, a few","4","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes","No","Yes","Would upgrade my (old) gentool for a new patch.  Haven't upgraded since the old version still supplies IP in the replay/display.  I don't care about seeing the IP just a unique (or sufficiently unique) string/hash to identify griefers re-joining lobbies (ideally this would be displayed in an easier place than the gentool menu).  Currently a large portion of the ip is set to 0 which can cause me to avoid playing with people I otherwise might."
"2021/08/29 11:16:06 AM GMT+2","Multiplayer","No","Hamachi","","Yes, often","No","3","5","5","New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","No","Yes","Game Mis-match during online play needs to be fixed"
"2021/08/29 11:20:39 AM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","CNC Online (Revora)","GenTool (old)","Yes, sometimes","Yes, a few","5","5","4","Ingame Interface changes;Damage, Speed, Health changes for existing units, buildings and powers;New units, buildings or powers","Yes, if the impact is small","Yes, if the impact is small","No","No, less",""
"2021/08/29 11:24:08 AM GMT+2","Multiplayer","No","GameRanger;Radmin;CNC Online (Revora)","GenTool (latest)","Yes, often","Yes, a few","4","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","No","Yes, a bit","No, same","i think the most important thing to grow zero hour would be one stable platform where you can play it with a decent ladder, no connection issues etc, but i know that´s not the aim of this patch. i still like the idea of the patch though, thank you guys for putting in the work "
"2021/08/29 11:29:08 AM GMT+2","Multiplayer","No","","","","Yes, a few","3","5","5","Menu changes;Damage, Speed, Health changes for existing units, buildings and powers","Yes","Yes","Yes, a bit","Yes",""
"2021/08/29 11:32:21 AM GMT+2","Multiplayer;Other","Yes","GameRanger;Radmin","GenTool (latest);ControlBarPro;GenPatcher;Other","Yes, sometimes","Yes, a few","4","5","3","Ingame Interface changes;Audio and visual changes for existing units, buildings and powers","No","No","Yes","No, same",""
"2021/08/29 11:41:33 AM GMT+2","Singleplayer;Multiplayer","No","Other","Other","No","Yes, a few","4","4","4","Ingame Interface changes;Gameplay or functionality changes for existing units, buildings and powers;New factions (armies)","Yes, if the impact is small","Yes, if the impact is small","No","No, same","An upgrade to -bit  Mac-Users"
"2021/08/29 11:42:02 AM GMT+2","Multiplayer","No","GameRanger;Other","GenTool (latest);ControlBarPro;GenPatcher","Yes, often","Yes, a few","3","5","5","Ingame Interface changes;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes","Network connectivity, random crashes, lag"
"2021/08/29 11:45:18 AM GMT+2","Multiplayer","No","GameRanger;Radmin","GenTool (latest)","Yes, sometimes","Yes, a few","4","5","5","Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;New factions (armies)","Yes, if the impact is small","Yes","Yes","Yes",""
"2021/08/29 11:45:19 AM GMT+2","Multiplayer","Yes","GameRanger","GenTool (latest)","No","Yes, a few","4","5","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","No","No, same",""
"2021/08/29 11:46:18 AM GMT+2","Multiplayer","Yes","GameRanger;Radmin","GenTool (latest);ControlBarPro","Yes, sometimes","Yes, many","3","4","4","Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small","Yes, if the impact is small","Yes","Yes",""
"2021/08/29 11:49:18 AM GMT+2","Multiplayer","No","GameRanger","GenTool (latest);ControlBarPro;GenPatcher","Yes, sometimes","","4","5","3","","No","No","Yes","",""
"2021/08/29 11:49:32 AM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","Yes","GameRanger;Radmin;Hamachi;CNC Online (Revora)","GenTool (latest)","Yes, sometimes","No","5","5","1","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers","No","No","Yes","No, less","I'm well aware of the community split argument. I do not believe forcing everyone to update via gentool is the right way. If there needs to be a patch the pros are not the only ones concerned. There is a community minus the pros who play the game casually and have for years. 

Just to help pros out for a patch is bs. There needs to be a balance. No casual player ever complains about bugs that exist. They have learnt to live with them. It's the pros that complain this is wrong no this no this. 

The game has been perfectly fine for long minus a few small things but that does not give anyone any right to change it and impose a path on anyone that wants to play online.bwhat about the mods that are based on 1.04. All those would need to be redone. 

I'm sorry, I understand where you are coming from but you have no right perse to change a game to benefit a few. You can see from the manner in which questions have been asked in this survey about how you want to earn sympathy from the community because so many things are wrong supposedly. 
No they aren't. Just tell them in the face to you want to change the gameplay and buff or nerf factions. Again you have no right to this change."
"2021/08/29 11:51:41 AM GMT+2","Singleplayer;Multiplayer","No","Hamachi","GenTool (latest)","Yes, sometimes","Yes, a few","3","5","5","Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers","Yes","Yes","Yes, a bit","Yes",""
"2021/08/29 11:55:32 AM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","No","","","","","5","5","5","Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","","Yes, a bit","Yes",""
"2021/08/29 12:02:27 PM GMT+2","Multiplayer","Yes","GameRanger","GenTool (latest);GenPatcher","Yes, sometimes","Yes, many","4","1","1","","No","No","","No, less",""
"2021/08/29 12:04:27 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Radmin","","Yes, sometimes","No","5","5","3","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small","Yes","Yes","No, same",""
"2021/08/29 12:04:55 PM GMT+2","Multiplayer","No","GameRanger;Radmin","GenTool (latest);ControlBarPro","","Yes, a few","4","3","4","Ingame Interface changes","","","","No, same",""
"2021/08/29 12:07:17 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","CNC Online (Revora)","GenTool (latest);ControlBarPro;GenPatcher","Yes, often","Yes, a few","2","5","5","Ingame Interface changes;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes","The most frustrating error in multiplayer ist the sync error. Fix this and i will donate 20€ to you"
"2021/08/29 12:08:37 PM GMT+2","Singleplayer;Multiplayer","Yes","GameRanger;Radmin;CNC Online (Revora)","GenTool (latest)","Yes, often","Yes, many","2","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes","Yes","No","Yes","Please fix zh and remove the iP from the menu completely. Thank you for the hard work."
"2021/08/29 12:11:35 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","CNC Online (Revora)","GenPatcher;Maphack","Yes, often","Yes, a few","3","3","4","Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","No, same","Sudden errors in the middle of the fight"
"2021/08/29 12:18:31 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","","GenTool (latest)","No","","4","5","3","Menu changes;New factions (armies)","Yes, if the impact is small","No","Yes, a bit","No, same",""
"2021/08/29 12:19:06 PM GMT+2","Multiplayer","Yes","GameRanger;Radmin;CNC Online (Revora)","GenTool (latest);ControlBarPro","Yes, sometimes","Yes, a few","3","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers","Yes, if the impact is small","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/08/29 12:20:44 PM GMT+2","Multiplayer","Yes","GameRanger;Radmin;CNC Online (Revora)","GenTool (latest)","Yes, often","Yes, many","1","5","5","Ingame Interface changes;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes","No","Yes","Frustrating is the imbalance itself. China needs several boots."
"2021/08/29 12:26:22 PM GMT+2","Singleplayer;Multiplayer","No","GameRanger","GenTool (latest);GenPatcher","Yes, sometimes","Yes, a few","4","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;New factions (armies)","Yes, if the impact is small","Yes, if the impact is small","No","No, same",""
"2021/08/29 12:26:57 PM GMT+2","Multiplayer","No","GameRanger","GenTool (latest)","Yes, often","Yes, a few","3","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes, if the impact is small","Yes, a bit","No, less","Low fps and lags"
"2021/08/29 12:29:25 PM GMT+2","Multiplayer","No","GameRanger","GenTool (latest)","Yes, sometimes","Yes, a few","4","5","5","New units, buildings or powers","Yes, if the impact is small","Yes","Yes, a bit","No, same","Is it possible to add a pro rules option (as there is today with the limit 1 sw)? "
"2021/08/29 12:30:29 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","GameRanger;CNC Online (Revora)","GenTool (latest);GenPatcher","Yes, sometimes","Yes, many","3","5","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New factions (armies)","Yes","Yes","Yes","Yes",""
"2021/08/29 12:34:06 PM GMT+2","Multiplayer","No","GameRanger","GenTool (latest)","Yes, often","Yes, many","3","4","5","Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/08/29 12:35:29 PM GMT+2","Singleplayer;Multiplayer","No","GameRanger","","Yes, often","Yes, a few","4","4","4","Damage, Speed, Health changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small","Yes","Yes, a bit","No, same",""
"2021/08/29 12:40:09 PM GMT+2","Multiplayer","No","CNC Online (Revora)","GenTool (latest);ControlBarPro;GenPatcher","No","Yes, a few","2","4","4","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers","Yes","Yes","Yes, a bit","No, same",""
"2021/08/29 12:42:21 PM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","GameRanger;Radmin;Other","GenTool (latest);ControlBarPro","Yes, sometimes","Yes, a few","4","3","4","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small","Yes","Yes, a bit","Yes",""
"2021/08/29 12:44:40 PM GMT+2","Multiplayer","No","CNC Online (Revora)","","Yes, sometimes","Yes, a few","5","4","1","","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes","No, same","Basically, the game is well balanced except for the tank general. Although the tanks are cheaper and very strong here, the hackers, soldiers and planes are priceless. even if only a handful of hackers are lost, that is a huge loss compared to other chinese armies. The tank general also has no long-range weapons, such as infernos, atomic cannons or Thomahawks, so is actually always at a disadvantage, because on the one hand (as mentioned above) the aircraft are priceless and made of paper, the tanks are slow and he can actually counter nothing with the long-range weapons, therefore the tank general is easy prey for the enemy if he is only spamming long-range weapons.

Another concern would be that the community would break up, that some would have the patch and some would not, some (even) fewer games would be offered again if there were a unified patch (no MOD!) It would not be a problem for everyone. If there is a uniform patch, the game design (toolbar; command bar, where houses, units, etc. can be built - like Domi, Legis-Design) should not be changed.

Another (personal concern): In Germany there is only the censored version (change of voice, some dialogues so that sentences are left out, the soldiers don't suffer when they fall) They are obviously there, but not included, maybe you could reactivate them...?

"
"2021/08/29 12:46:24 PM GMT+2","Multiplayer","Yes","GameRanger","GenTool (latest)","Yes, sometimes","No","4","5","4","Audio and visual changes for existing units, buildings and powers","No","No","Yes","Yes",""
"2021/08/29 12:47:38 PM GMT+2","Multiplayer","Yes","GameRanger;Radmin;CNC Online (Revora)","GenTool (latest)","Yes, sometimes","Yes, many","3","5","4","Menu changes;Audio and visual changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes","I'd like to see bugs fixed and some matchups balanced"
"2021/08/29 12:48:00 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","CNC Online (Revora)","GenTool (latest)","Yes, sometimes","Yes, a few","5","4","4","Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","No","Yes","No, same",""
"2021/08/29 1:01:44 PM GMT+2","Singleplayer;Multiplayer","Yes","GameRanger;Radmin;Hamachi","GenTool (latest)","Yes, sometimes","Yes, a few","5","1","1","Menu changes","Yes","Yes","No","No, same","This game still live for now only becuse it did not change if you change it you will killl it"
"2021/08/29 1:04:55 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...);Other","No","GameRanger;Radmin;Hamachi;CNC Online (Revora)","GenTool (latest);Maphack","No","Yes, a few","4","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small","Yes, if the impact is small","No","Yes","I think the most unbalanced 1v1 matchup is air vs any USA. Something should be do e to fix it."
"2021/08/29 1:05:02 PM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","","GenTool (latest)","Yes, sometimes","Yes, many","4","4","5","Ingame Interface changes;Damage, Speed, Health changes for existing units, buildings and powers","Yes","Yes","Yes","Yes",""
"2021/08/29 1:08:55 PM GMT+2","Multiplayer","No","CNC Online (Revora)","GenTool (latest)","Yes, sometimes","Yes, a few","4","5","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes","Yes, if the impact is small","Yes","Yes","We wanna ultra hd quality with ultra sound "
"2021/08/29 1:15:06 PM GMT+2","Multiplayer","No","CNC Online (Revora)","GenTool (latest);ControlBarPro;GenPatcher","Yes, sometimes","No","4","4","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","No","Yes, if the impact is small","No","No, same","I am not that competitive so balance wise i dont really want to speak out, sometimes i still get some crashes or mismatches with people online which i would love to see fixed. but overall this game is already so much better than it used to be so thank you!"
"2021/08/29 1:15:52 PM GMT+2","Singleplayer","Yes","GameRanger;Radmin","GenTool (latest)","No","No","5","5","5","Audio and visual changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","No","Yes, a bit","No, same","The game does not need global changes.  But only in the distribution, the creation of leagues similar to football, with a global rating of players in the public domain, where each player will have an officially confirmed level of skills and statistics.  This will contribute to the desire of new players to build up their skills."
"2021/08/29 1:17:49 PM GMT+2","Multiplayer","Yes","GameRanger;CNC Online (Revora)","GenTool (latest);GenPatcher","Yes, sometimes","Yes, a few","4","4","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","No","Yes","No, same","if you're gonna improve the things like say for example graphics or sound. dont make it too futury, i think people like the fact that its a bit older looking. and pls dont split up the community. and i find it good that there's finally gonna be looked at to make cnc even better"
"2021/08/29 1:18:24 PM GMT+2","Multiplayer","Yes","GameRanger;Radmin","GenTool (latest);ControlBarPro","No","No","5","5","5","Menu changes;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers","Yes","Yes","Yes","No, same","gg"
"2021/08/29 1:19:31 PM GMT+2","Multiplayer","No","GameRanger","GenTool (old)","Yes, often","Yes, many","3","5","5","Ingame Interface changes;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes","Yes, a bit","Yes",""
"2021/08/29 1:22:04 PM GMT+2","Multiplayer","No","CNC Online (Revora)","GenTool (latest);ControlBarPro","Yes, sometimes","Yes, many","1","5","5","Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes","No","Yes","I find it frustrating that these ""expert"" complaining aboit it will split the community because that is exactly what they are doing. By endorsing gameranger and not promoting revora and making it better."
"2021/08/29 1:22:18 PM GMT+2","Multiplayer","Yes","GameRanger;Radmin","GenTool (latest)","No","Yes, a few","5","5","5","Menu changes;Ingame Interface changes","No","No","No","No, same",""
