"Timestamp","Что вам нравится в игре Generals Zero Hour?","Участвуете ли вы в многопользовательских лигах, турнирах или соревнованиях?","Какие платформы вы используете для игры с другими людьми?","Используете ли вы что-то из ниже перечисленного?","Во время игры в одиночном или многопользовательском режиме сталкиваетесь ли вы с какими-либо игровыми проблемами, которые вас расстраивают?","Сталкиваетесь ли вы с проблемами баланса фракций (армий), которые кажутся несправедливыми или нечестными, когда играете в многопользовательском режиме?","Если отбросить все моды сообщества, насколько вы довольны общим состоянием оригинальной версии Zero Hour 1.04?","Если бы Electronic Arts (EA) сегодня выпустила новый патч на Generals Zero Hour 1.04, исправляющий эксплойты, ошибки, дисбаланс и улучшающий производительность, графику и звуки, насколько вы были бы этому рады?","Если бы Пользователи Сообщества выпустили сегодня патч на Generals Zero Hour 1.04 и исправили эксплойты, ошибки, дисбаланс и улучшили производительность, графику и звуки, насколько бы вы были этому рады?","Какие изменения в патче,  в основном касающихся мультиплеера, были бы приемлемы для вас, помимо исправлений и улучшений?","Если в оригинальной игре есть баг или ошибка, предпочли бы вы, чтобы она была исправлена, даже если бы из-за этого изменился геймплей?","Если в оригинальной игре есть дисбаланс, который невозможно исправить просто изменив стоимость и время строительства, вы бы предпочли, чтобы дисбаланс был исправлен даже если бы из-за этого изменился геймплей?","Если бы Пользователи Сообщества выпустили и распространили новый патч с исправлениями и улучшениями, беспокоились бы вы о том, насколько успешно он будет принят широкой аудиторией мультиплеера? (Разделение игроков на два лагеря)","Стал бы новый патч с исправлениями и улучшениями для вас стимулом, чтобы больше играть в мультиплеер?","Здесь вы можете написать все, что у вас на уме, связанное с этим опросом. Что вас расстраивает? Что вы хотели бы улучшить?"
"2021/08/29 12:13:05 PM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия);Maphack","Да, иногда","Нет","3","5","5","Изменения меню;Изменения внутриигрового интерфейса","","Нет","Да","Да"," движок игры слишком стар
"
"2021/08/29 12:13:18 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin;Hamachi;Другое","GenTool (Последняя версия);ControlBarPro","Да, иногда","Да, временами","3","5","4","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","","",""
"2021/08/29 12:16:51 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия);GenPatcher","Да, иногда","Да, временами","5","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да","Да, немного","Да",""
"2021/08/29 12:18:08 PM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Старая версия)","Да, иногда","Да, временами","4","5","4","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да","Да","Нет","Нет, останется таким же",""
"2021/08/29 12:19:54 PM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия);ControlBarPro","Да, иногда","Да, временами","4","5","5","","Да, если изменения будут незначительными","Да","Да, немного","Нет, останется таким же","лиза рот в сперме, брокер топ 1 мира, аир свг самый балансный матчап"
"2021/08/29 12:20:06 PM GMT+2","Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия);ControlBarPro","Да, часто","Да, временами","3","5","5","Изменения меню;Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да","Да, немного","Нет, останется таким же","Для игроков Zero Hour нужны минимальные изменения в патче. Для всего остального есть модификации игры. "
"2021/08/29 12:31:16 PM GMT+2","Игры Онлайн","Да","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия);ControlBarPro;GenPatcher","Да, иногда","Да, часто","3","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Нет","Нет","Да, немного","Да",""
"2021/08/29 12:33:35 PM GMT+2","Игры Онлайн","Да","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия);ControlBarPro","Да, часто","Да, часто","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Новые юниты, здания или повышения","Да, если изменения будут незначительными","Да","Да, немного","Да",""
"2021/08/29 12:39:54 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Да","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия)","Да, часто","Да, временами","3","5","5","Изменения внутриигрового интерфейса","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Нет, останется таким же",""
"2021/08/29 1:03:00 PM GMT+2","Моды (Contra, Shockwave, ROTR и т.д)","Да","Radmin","GenTool (Последняя версия);ControlBarPro","Да, иногда","Нет","1","5","3","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да, немного","Да",""
"2021/08/29 1:03:49 PM GMT+2","Одиночный режим;Игры Онлайн","Да","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия);ControlBarPro","Да, часто","Да, часто","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да","Да","Да",""
"2021/08/29 1:05:33 PM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия);ControlBarPro","Да, часто","Да, временами","3","2","4","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Да, немного","Нет, останется таким же"," Хотелось бы большего от данного патча помимо баг-фикса, оптимизации и ребаланса, но это хоть что-то, что вносит само сообщество игры. Но всё же я рад что за игру берутся, хоть это и не сами разработчики игры..."
"2021/08/29 1:06:38 PM GMT+2","Игры Онлайн;Другое","Да","GameRanger;Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Нет","Да",""
"2021/08/29 1:17:11 PM GMT+2","Игры Онлайн","Да","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","5","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Новые фракции (армии)","Нет","Да, если изменения не будут слишком большими","Нет","Нет, останется таким же","Хотелось бы увидеть больше новых фракций и немного усилить Супер Оружейного генерала до того уровня, чтобы он мог лучше конкурировать с другими фракциями. И на мой взгляд было бы неплохо добавить Air fild  для GLA"
"2021/08/29 1:18:35 PM GMT+2","Игры Онлайн","Да","GameRanger;Radmin","GenTool (Последняя версия);ControlBarPro","Нет","Нет","5","5","5","Изменения меню;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да","Да","Да","Нет, останется таким же","дисбаланс был успешно исправлен"
"2021/08/29 1:43:31 PM GMT+2","Игры Онлайн","Да","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия);ControlBarPro;GenPatcher","Да, иногда","Да, временами","5","5","5","Изменения меню;Изменения внутриигрового интерфейса;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Нет, останется таким же","я считаю что патч нам нужен! сообществу нельзя стоять на месте! новые патчи обновления и так далее. я представляю жизнь сообщества именно такой!"
"2021/08/29 1:59:30 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","","Да, иногда","","3","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Нет","Нет, останется таким же",""
"2021/08/29 2:00:58 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","Другое","Да, часто","Да, временами","3","5","4","Изменения меню;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Нет","Нет","Да, немного","Нет, останется таким же","Я бы хотел только улучшение графики, исправления багов и оптимизации игры, это все чего ей не хватает, также расширение для новых мониторов хотя бы 2к"
"2021/08/29 2:04:16 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","","Да, иногда","Да, временами","3","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/08/29 2:05:46 PM GMT+2","Игры Онлайн","Да","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия);ControlBarPro","Нет","Нет","5","3","3","Изменения меню;Изменения внутриигрового интерфейса","Нет","Нет","Да","Нет, станет меньше",""
"2021/08/29 2:07:42 PM GMT+2","Игры Онлайн","Да","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия);GenTool (Старая версия)","Нет","Да, временами","5","5","5","Изменения меню","Да, если изменения будут незначительными и баланс останется таким же","","Да","",""
"2021/08/29 2:07:56 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","GameRanger;Radmin","GenTool (Последняя версия)","Да, часто","Да, временами","4","4","4","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да","Нет, станет меньше",""
"2021/08/29 2:10:19 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","","Да, иногда","Да, временами","3","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Нет","Нет","Да","Гребаные бесконечно парящие вертолеты. Хочу кнопку посадки и плавность движений😇"
"2021/08/29 2:11:08 PM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin;CNC Online (Revora)","GenTool (Последняя версия)","Да, часто","Да, часто","2","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Нет","Да","Уберите бойници у хамви и сднлацстн что-бы нейтронные снаряди не убивали технику в тонелях МАО"
"2021/08/29 2:13:58 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin;Hamachi","GenTool (Последняя версия)","Нет","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Нет","Да",""
"2021/08/29 2:14:38 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi","","Да, иногда","Да, временами","4","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Нет","Нет, останется таким же",""
"2021/08/29 2:23:25 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi","GenPatcher","Нет","Нет","5","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Нет","Нет, останется таким же",""
"2021/08/29 2:26:47 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi","","Да, иногда","Нет","5","5","5","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Нет","Нет, останется таким же",""
"2021/08/29 2:26:47 PM GMT+2","Моды (Contra, Shockwave, ROTR и т.д)","Да","Radmin","GenTool (Последняя версия)","Да, часто","Да, часто","2","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Нет","Да",""
"2021/08/29 2:33:34 PM GMT+2","Одиночный режим","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","3","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Нет, останется таким же",""
"2021/08/29 2:37:38 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д);Другое","Нет","Другое","GenTool (Старая версия)","Да, иногда","Нет","5","1","1","Новые юниты, здания или повышения","Да, если изменения будут незначительными","Да","Да, немного","Нет, станет меньше","Расстраивает, что лавандоса нету чемодана."
"2021/08/29 2:40:09 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","GenTool (Последняя версия)","Нет","Нет","4","5","4","Новые юниты, здания или повышения","Да, если изменения будут незначительными и баланс останется таким же","Да","Нет","Нет, останется таким же",""
"2021/08/29 2:48:32 PM GMT+2","Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, часто","Да, часто","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Нет","Да, если изменения не будут слишком большими","Нет","Нет, останется таким же",""
"2021/08/29 2:49:40 PM GMT+2","Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi","GenTool (Последняя версия)","Да, иногда","","5","5","5","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","","",""
"2021/08/29 2:53:19 PM GMT+2","Игры Онлайн","Да","GameRanger;Radmin","GenTool (Последняя версия)","Да, часто","Да, временами","3","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да","Нет","Да",""
"2021/08/29 2:59:11 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi","","Да, иногда","Да, временами","4","5","5","Изменения меню;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да, если изменения будут незначительными","Да","Нет","Нет, останется таким же","Стабильность движка, который от любого чиха начинает втирать про many including Viruces  и жуткие тормоза вплоть до вылета, когда на поле сражений одновременно слишком много юнитов. Некоторым генералам, вроде гла невидимки очень нехватает разнообразия и вообще техники из за чего по моему мнению, это один из слабейших генералов и скучнейших в геймплее. Так же некоторые читерские моменты ботов вроде автоматической стрельбы ракетчиками в режиме лазерного указания(не сравнится с игроком). "
"2021/08/29 3:06:46 PM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","5","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да","Да, немного","Да",""
"2021/08/29 3:13:26 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да","Да","Да","Нет, останется таким же","Когда нить увидеть полноценные генералы 2🤔"
"2021/08/29 3:14:08 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin;CNC Online (Revora)","GenTool (Последняя версия)","Нет","Нет","5","5","5","Изменения меню;Изменения внутриигрового интерфейса;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да","Да","Как на счёт сделать Gentool лаунчером с выбором оригинальных Generals либо ZH. А так же авторы мода могли бы туда вставлять свои моды, что бы игроки одной кнопкой мыши могли бы скачать и выбрать мод для начало игры. Удачи !"
"2021/08/29 3:15:05 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия);ControlBarPro","Да, иногда","Да, временами","3","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 3:19:51 PM GMT+2","Игры Онлайн","Нет","CNC Online (Revora)","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да, если изменения будут незначительными","Нет","Да","Да","Генералы одно из лучших, что могли лицезреть мои глаза"
"2021/08/29 3:24:37 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, часто","Да, временами","4","4","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да","Да",""
"2021/08/29 3:26:32 PM GMT+2","Моды (Contra, Shockwave, ROTR и т.д)","Да","Radmin","GenTool (Последняя версия)","Да, часто","Да, часто","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да","Да, немного","Да",""
"2021/08/29 3:33:10 PM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Нет","4","5","5","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да","Исправьте, пожалуйста, этот надоедливый баг с рассинхроном"
"2021/08/29 3:52:01 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","","Нет","","5","5","3","Изменения меню;Изменения внутриигрового интерфейса","Да, если изменения будут незначительными и баланс останется таким же","Нет","Нет","","Я бы хотел, чтобы в игре осталось все также как было, только чтобы была улучшена текстурка интерфейса в бою и в главное меню, ибо они со временем устарели. И чтобы патч мог установить каждый желающий. ( Не мод, а ванильная игра)"
"2021/08/29 3:54:13 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Да, часто","4","3","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Да","Да","Не трогайте, пожалуйста, баг, который запускает солдат в космос. Это крутой баг! "
"2021/08/29 4:00:25 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия)","Да, часто","Да, временами","3","5","5","Изменения меню;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да","Да","Да, немного","Нет, останется таким же",""
"2021/08/29 4:03:59 PM GMT+2","Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","3","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да","Да, немного","Да",""
"2021/08/29 4:06:31 PM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Нет","Да, временами","5","2","2","Изменения меню;Изменения внутриигрового интерфейса","Нет","Нет","Да","Нет, станет меньше","ЗА СВГ НАДО ХАМВИ ЗА 800 ХОТЯ БЫ!"
"2021/08/29 4:07:34 PM GMT+2","Игры Онлайн","Нет","GameRanger","GenTool (Последняя версия)","Да, иногда","Да, часто","3","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","Да",""
